# Target Sample Rate: 400 Hz
time,gFx,gFy,gFz,TgF
1.771863541,0.0353,0.7815,0.6213,0.999
1.775534948,0.0382,0.7806,0.6203,0.998
1.778694635,0.0387,0.7781,0.6213,0.996
1.781953594,0.0421,0.7791,0.6179,0.995
1.788697448,0.0441,0.7762,0.6144,0.991
1.791941041,0.0451,0.7766,0.6130,0.990
1.797242812,0.0431,0.7806,0.6164,0.996
1.802328646,0.0397,0.7791,0.6179,0.995
1.8075325,0.0363,0.7806,0.6183,0.996
1.81011026,0.0353,0.7806,0.6164,0.995
1.814305364,0.0353,0.7810,0.6169,0.996
1.819011875,0.0333,0.7815,0.6179,0.997
1.822394375,0.0329,0.7810,0.6193,0.997
1.828476562,0.0324,0.7815,0.6188,0.997
1.833178125,0.0329,0.7820,0.6203,0.999
1.837387656,0.0348,0.7806,0.6208,0.998
1.840422864,0.0353,0.7815,0.6237,1.001
1.844055469,0.0358,0.7810,0.6247,1.001
1.847308073,0.0373,0.7815,0.6266,1.002
1.851190312,0.0377,0.7801,0.6257,1.001
1.855220989,0.0363,0.7796,0.6247,1.000
1.857905781,0.0358,0.7786,0.6222,0.997
1.863839323,0.0363,0.7786,0.6208,0.996
1.867967812,0.0382,0.7766,0.6188,0.994
1.873386354,0.0421,0.7781,0.6149,0.993
1.87812276,0.0431,0.7771,0.6149,0.992
1.883281823,0.0441,0.7737,0.6130,0.988
1.886092916,0.0436,0.7742,0.6120,0.988
1.897804166,0.0451,0.7737,0.6086,0.985
1.903254531,0.0431,0.7806,0.6105,0.992
1.90599901,0.0392,0.7830,0.6125,0.995
1.911315104,0.0382,0.7840,0.6139,0.996
1.915917187,0.0382,0.7845,0.6154,0.998
1.918706719,0.0377,0.7850,0.6149,0.998
1.922615729,0.0363,0.7869,0.6125,0.998
1.925772239,0.0358,0.7874,0.6120,0.998
1.929403802,0.0358,0.7898,0.6139,1.001
1.935991614,0.0358,0.7884,0.6130,0.999
1.938889375,0.0343,0.7864,0.6139,0.998
1.943821771,0.0363,0.7859,0.6159,0.999
1.947711614,0.0348,0.7859,0.6193,1.001
1.953915364,0.0353,0.7850,0.6193,1.000
1.956521823,0.0329,0.7850,0.6183,1.000
1.961009583,0.0353,0.7810,0.6183,0.997
1.967612187,0.0363,0.7810,0.6213,0.999
1.970564635,0.0368,0.7781,0.6193,0.995
1.973847812,0.0368,0.7776,0.6208,0.996
1.979377239,0.0358,0.7791,0.6222,0.998
1.983418177,0.0338,0.7781,0.6213,0.996
1.996860677,0.0304,0.7791,0.6198,0.996
2.000754791,0.0304,0.7845,0.6203,1.001
2.004182135,0.0290,0.7835,0.6232,1.002
2.007897031,0.0270,0.7835,0.6232,1.001
2.013121718,0.0280,0.7835,0.6218,1.001
2.016364843,0.0294,0.7840,0.6218,1.001
2.020265104,0.0290,0.7850,0.6203,1.001
2.024685937,0.0309,0.7830,0.6198,0.999
2.027909948,0.0294,0.7859,0.6183,1.000
2.032347291,0.0294,0.7850,0.6159,0.998
2.035920416,0.0324,0.7835,0.6091,0.993
2.038658958,0.0333,0.7845,0.6081,0.993
2.044895156,0.0324,0.7859,0.6037,0.992
2.049050364,0.0353,0.7854,0.6042,0.992
2.053714427,0.0397,0.7835,0.6022,0.989
2.056886302,0.0397,0.7830,0.6032,0.989
2.061012031,0.0407,0.7820,0.6007,0.987
2.065558541,0.0397,0.7820,0.6056,0.990
2.068526875,0.0421,0.7835,0.6086,0.993
2.073195416,0.0387,0.7850,0.6081,0.994
2.076385885,0.0392,0.7845,0.6091,0.994
2.080420729,0.0382,0.7854,0.6091,0.995
2.083118177,0.0387,0.7835,0.6091,0.993
2.085807239,0.0387,0.7840,0.6086,0.993
2.089898906,0.0392,0.7825,0.6091,0.992
2.094704166,0.0387,0.7830,0.6130,0.995
2.100429843,0.0412,0.7806,0.6179,0.996
2.103036771,0.0397,0.7776,0.6198,0.995
2.105634166,0.0407,0.7771,0.6188,0.994
2.111147135,0.0412,0.7747,0.6213,0.994
2.115604218,0.0421,0.7752,0.6213,0.994
2.118250312,0.0436,0.7752,0.6218,0.995
2.123157708,0.0436,0.7727,0.6203,0.992
2.125879687,0.0431,0.7747,0.6198,0.993
2.132137552,0.0431,0.7766,0.6218,0.996
2.136363802,0.0412,0.7791,0.6203,0.997
2.139003489,0.0387,0.7810,0.6169,0.996
2.143460052,0.0373,0.7801,0.6154,0.994
2.146063073,0.0363,0.7810,0.6139,0.994
2.150934218,0.0324,0.7835,0.6149,0.997
2.15587401,0.0314,0.7850,0.6193,1.000
2.161363489,0.0255,0.7884,0.6227,1.005
2.166031718,0.0275,0.7894,0.6208,1.005
2.171051093,0.0280,0.7884,0.6213,1.004
2.176142916,0.0280,0.7864,0.6198,1.002
2.180909375,0.0294,0.7869,0.6208,1.003
2.183484948,0.0299,0.7854,0.6213,1.002
2.186347343,0.0314,0.7845,0.6222,1.002
2.189237239,0.0294,0.7835,0.6213,1.000
2.19201026,0.0304,0.7840,0.6198,1.000
2.195982552,0.0343,0.7815,0.6159,0.996
2.198689427,0.0358,0.7791,0.6139,0.993
2.204582968,0.0421,0.7786,0.6120,0.991
2.209683593,0.0446,0.7771,0.6130,0.991
2.213928125,0.0446,0.7781,0.6120,0.991
2.219091302,0.0461,0.7757,0.6100,0.988
2.224033958,0.0451,0.7776,0.6081,0.988
2.228764895,0.0436,0.7791,0.6076,0.989
2.231970625,0.0412,0.7791,0.6061,0.988
2.23634875,0.0382,0.7825,0.6022,0.988
2.239527343,0.0358,0.7830,0.5993,0.987
2.243525,0.0333,0.7835,0.5983,0.986
2.246295208,0.0299,0.7864,0.5964,0.987
2.248972656,0.0290,0.7879,0.5949,0.988
